类别,precision,recall,f1-score,support,accuracy,AUC
debanbing,0.97,0.97,0.97,100.0,0.97,0.9994315245478036
healthy,0.9438202247191012,0.9655172413793104,0.9545454545454544,87.0,0.9655172413793104,0.997787356321839
wenbaoyebanbing,0.9292929292929292,0.92,0.9246231155778896,100.0,0.92,0.9960981912144703
xiubing,0.9705882352941176,0.99,0.9801980198019802,100.0,0.99,0.999328165374677
yuanbanbing,0.9896907216494846,0.96,0.9746192893401014,100.0,0.96,0.9991472868217055
macro avg,0.9606784221911264,0.961103448275862,0.9607971758530852,487.0,0.961103448275862,0.9983585048560991
weighted avg,0.961128435676006,0.9609856262833676,0.9609640595840896,487.0,0.9609856262833676,0.9983737511208739
